SKU_ID,WEEK_START,YEAR,MONTH,INDUSTRY,STOCK_LEVEL,WEEKLY_DEMAND,WEEKLY_FULFILLED,REPLENISHMENT,STOCKOUT,DAYS_OF_SUPPLY,REORDER_TRIGGERED,FILL_RATE
SKU10000,2022-01-03,2022,1,Automotive,377,168,168,0,0,15.7,0,1.0
SKU10000,2022-01-10,2022,1,Automotive,129,248,248,0,0,3.6,0,1.0
SKU10000,2022-01-17,2022,1,Automotive,423,224,129,518,0,13.2,1,0.5759
SKU10000,2022-01-24,2022,1,Automotive,106,317,317,0,0,2.3,0,1.0
SKU10000,2022-01-31,2022,1,Automotive,408,239,106,541,0,11.9,1,0.4435
SKU10000,2022-02-07,2022,2,Automotive,152,256,256,0,0,4.2,0,1.0
SKU10000,2022-02-14,2022,2,Automotive,580,218,152,646,0,18.6,1,0.6972
SKU10000,2022-02-21,2022,2,Automotive,342,238,238,0,0,10.1,0,1.0
SKU10000,2022-02-28,2022,2,Automotive,77,265,265,0,0,2.0,0,1.0
SKU10000,2022-03-07,2022,3,Automotive,543,257,77,723,0,14.8,1,0.2996
SKU10000,2022-03-14,2022,3,Automotive,326,217,217,0,0,10.5,0,1.0
SKU10000,2022-03-21,2022,3,Automotive,75,251,251,0,0,2.1,0,1.0
SKU10000,2022-03-28,2022,3,Automotive,372,208,75,505,0,12.5,1,0.3606
SKU10000,2022-04-04,2022,4,Automotive,122,250,250,0,0,3.4,0,1.0
SKU10000,2022-04-11,2022,4,Automotive,418,298,122,594,0,9.8,1,0.4094
SKU10000,2022-04-18,2022,4,Automotive,149,269,269,0,0,3.9,0,1.0
SKU10000,2022-04-25,2022,4,Automotive,408,226,149,485,0,12.6,1,0.6593
SKU10000,2022-05-02,2022,5,Automotive,129,279,279,0,0,3.2,0,1.0
SKU10000,2022-05-09,2022,5,Automotive,476,267,129,614,0,12.5,1,0.4831
SKU10000,2022-05-16,2022,5,Automotive,188,288,288,0,0,4.6,0,1.0
SKU10000,2022-05-23,2022,5,Automotive,0,308,188,0,0,0.0,0,0.6104
SKU10000,2022-05-30,2022,5,Automotive,270,258,0,528,1,7.3,1,0.0
SKU10000,2022-06-06,2022,6,Automotive,0,282,270,0,0,0.0,0,0.9574
SKU10000,2022-06-13,2022,6,Automotive,311,268,0,579,1,8.1,1,0.0
SKU10000,2022-06-20,2022,6,Automotive,26,285,285,0,0,0.6,0,1.0
SKU10000,2022-06-27,2022,6,Automotive,416,301,26,691,0,9.7,1,0.0864
SKU10000,2022-07-04,2022,7,Automotive,74,342,342,0,0,1.5,0,1.0
SKU10000,2022-07-11,2022,7,Automotive,291,290,74,507,0,7.0,1,0.2552
SKU10000,2022-07-18,2022,7,Automotive,0,313,291,0,0,0.0,0,0.9297
SKU10000,2022-07-25,2022,7,Automotive,378,344,0,722,1,7.7,1,0.0
SKU10000,2022-08-01,2022,8,Automotive,121,257,257,0,0,3.3,0,1.0
SKU10000,2022-08-08,2022,8,Automotive,335,260,121,474,0,9.0,1,0.4654
SKU10000,2022-08-15,2022,8,Automotive,64,271,271,0,0,1.7,0,1.0
SKU10000,2022-08-22,2022,8,Automotive,412,261,64,609,0,11.0,1,0.2452
SKU10000,2022-08-29,2022,8,Automotive,162,250,250,0,0,4.5,0,1.0
SKU10000,2022-09-05,2022,9,Automotive,419,216,162,473,0,13.6,1,0.75
SKU10000,2022-09-12,2022,9,Automotive,187,232,232,0,0,5.6,0,1.0
SKU10000,2022-09-19,2022,9,Automotive,0,206,187,0,0,0.0,0,0.9078
SKU10000,2022-09-26,2022,9,Automotive,433,253,0,686,1,12.0,1,0.0
SKU10000,2022-10-03,2022,10,Automotive,208,225,225,0,0,6.5,0,1.0
SKU10000,2022-10-10,2022,10,Automotive,0,237,208,0,0,0.0,0,0.8776
SKU10000,2022-10-17,2022,10,Automotive,265,243,0,508,1,7.6,1,0.0
SKU10000,2022-10-24,2022,10,Automotive,0,267,265,0,0,0.0,0,0.9925
SKU10000,2022-10-31,2022,10,Automotive,410,214,0,624,1,13.4,1,0.0
SKU10000,2022-11-07,2022,11,Automotive,199,211,211,0,0,6.6,0,1.0
SKU10000,2022-11-14,2022,11,Automotive,0,228,199,0,0,0.0,0,0.8728
SKU10000,2022-11-21,2022,11,Automotive,447,234,0,681,1,13.4,1,0.0
SKU10000,2022-11-28,2022,11,Automotive,226,221,221,0,0,7.2,0,1.0
SKU10000,2022-12-05,2022,12,Automotive,8,218,218,0,0,0.3,0,1.0
SKU10000,2022-12-12,2022,12,Automotive,433,223,8,648,0,13.6,1,0.0359
SKU10000,2022-12-19,2022,12,Automotive,237,196,196,0,0,8.5,0,1.0
SKU10000,2022-12-26,2022,12,Automotive,29,208,208,0,0,1.0,0,1.0
SKU10000,2023-01-02,2023,1,Automotive,301,205,29,477,0,10.3,1,0.1415
SKU10000,2023-01-09,2023,1,Automotive,121,180,180,0,0,4.7,0,1.0
SKU10000,2023-01-16,2023,1,Automotive,613,191,121,683,0,22.5,1,0.6335
SKU10000,2023-01-23,2023,1,Automotive,435,178,178,0,0,17.1,0,1.0
SKU10000,2023-01-30,2023,1,Automotive,269,166,166,0,0,11.3,0,1.0
SKU10000,2023-02-06,2023,2,Automotive,69,200,200,0,0,2.4,0,1.0
SKU10000,2023-02-13,2023,2,Automotive,613,185,69,729,0,23.2,1,0.373
SKU10000,2023-02-20,2023,2,Automotive,421,192,192,0,0,15.3,0,1.0
SKU10000,2023-02-27,2023,2,Automotive,196,225,225,0,0,6.1,0,1.0
SKU10000,2023-03-06,2023,3,Automotive,7,189,189,0,0,0.3,0,1.0
SKU10000,2023-03-13,2023,3,Automotive,445,272,7,710,0,11.5,1,0.0257
SKU10000,2023-03-20,2023,3,Automotive,216,229,229,0,0,6.6,0,1.0
SKU10000,2023-03-27,2023,3,Automotive,34,182,182,0,0,1.3,0,1.0
SKU10000,2023-04-03,2023,4,Automotive,395,196,34,557,0,14.1,1,0.1735
SKU10000,2023-04-10,2023,4,Automotive,136,259,259,0,0,3.7,0,1.0
SKU10000,2023-04-17,2023,4,Automotive,648,205,136,717,0,22.1,1,0.6634
SKU10000,2023-04-24,2023,4,Automotive,446,202,202,0,0,15.5,0,1.0
SKU10000,2023-05-01,2023,5,Automotive,229,217,217,0,0,7.4,0,1.0
SKU10000,2023-05-08,2023,5,Automotive,0,236,229,0,0,0.0,0,0.9703
SKU10000,2023-05-15,2023,5,Automotive,449,242,0,691,1,13.0,1,0.0
SKU10000,2023-05-22,2023,5,Automotive,260,189,189,0,0,9.6,0,1.0
SKU10000,2023-05-29,2023,5,Automotive,27,233,233,0,0,0.8,0,1.0
SKU10000,2023-06-05,2023,6,Automotive,524,215,27,712,0,17.1,1,0.1256
SKU10000,2023-06-12,2023,6,Automotive,318,206,206,0,0,10.8,0,1.0
SKU10000,2023-06-19,2023,6,Automotive,75,243,243,0,0,2.2,0,1.0
SKU10000,2023-06-26,2023,6,Automotive,525,245,75,695,0,15.0,1,0.3061
SKU10000,2023-07-03,2023,7,Automotive,251,274,274,0,0,6.4,0,1.0
SKU10000,2023-07-10,2023,7,Automotive,12,239,239,0,0,0.4,0,1.0
SKU10000,2023-07-17,2023,7,Automotive,157,302,12,447,0,3.6,1,0.0397
SKU10000,2023-07-24,2023,7,Automotive,525,264,157,632,0,13.9,1,0.5947
SKU10000,2023-07-31,2023,7,Automotive,328,197,197,0,0,11.7,0,1.0
SKU10000,2023-08-07,2023,8,Automotive,85,243,243,0,0,2.4,0,1.0
SKU10000,2023-08-14,2023,8,Automotive,470,192,85,577,0,17.1,1,0.4427
SKU10000,2023-08-21,2023,8,Automotive,244,226,226,0,0,7.6,0,1.0
SKU10000,2023-08-28,2023,8,Automotive,25,219,219,0,0,0.8,0,1.0
SKU10000,2023-09-04,2023,9,Automotive,437,220,25,632,0,13.9,1,0.1136
SKU10000,2023-09-11,2023,9,Automotive,179,258,258,0,0,4.9,0,1.0
SKU10000,2023-09-18,2023,9,Automotive,0,233,179,0,0,0.0,0,0.7682
SKU10000,2023-09-25,2023,9,Automotive,267,223,0,490,1,8.4,1,0.0
SKU10000,2023-10-02,2023,10,Automotive,26,241,241,0,0,0.8,0,1.0
SKU10000,2023-10-09,2023,10,Automotive,440,230,26,644,0,13.4,1,0.113
SKU10000,2023-10-16,2023,10,Automotive,254,186,186,0,0,9.6,0,1.0
SKU10000,2023-10-23,2023,10,Automotive,18,236,236,0,0,0.5,0,1.0
SKU10000,2023-10-30,2023,10,Automotive,286,193,18,461,0,10.4,1,0.0933
SKU10000,2023-11-06,2023,11,Automotive,101,185,185,0,0,3.8,0,1.0
SKU10000,2023-11-13,2023,11,Automotive,444,169,101,512,0,18.4,1,0.5976
SKU10000,2023-11-20,2023,11,Automotive,225,219,219,0,0,7.2,0,1.0
SKU10000,2023-11-27,2023,11,Automotive,85,140,140,0,0,4.2,0,1.0
SKU10000,2023-12-04,2023,12,Automotive,357,206,85,478,0,12.1,1,0.4126
SKU10000,2023-12-11,2023,12,Automotive,184,173,173,0,0,7.4,0,1.0
SKU10000,2023-12-18,2023,12,Automotive,7,177,177,0,0,0.3,0,1.0
SKU10000,2023-12-25,2023,12,Automotive,407,165,7,565,0,17.3,1,0.0424
SKU10000,2024-01-01,2024,1,Automotive,214,193,193,0,0,7.8,0,1.0
SKU10000,2024-01-08,2024,1,Automotive,37,177,177,0,0,1.5,0,1.0
SKU10000,2024-01-15,2024,1,Automotive,337,183,37,483,0,12.9,1,0.2022
SKU10000,2024-01-22,2024,1,Automotive,177,160,160,0,0,7.7,0,1.0
SKU10000,2024-01-29,2024,1,Automotive,0,196,177,0,0,0.0,0,0.9031
SKU10000,2024-02-05,2024,2,Automotive,328,193,0,521,1,11.9,1,0.0
SKU10000,2024-02-12,2024,2,Automotive,178,150,150,0,0,8.3,0,1.0
SKU10000,2024-02-19,2024,2,Automotive,0,184,178,0,0,0.0,0,0.9674
SKU10000,2024-02-26,2024,2,Automotive,308,153,0,461,1,14.1,1,0.0
SKU10000,2024-03-04,2024,3,Automotive,121,187,187,0,0,4.5,0,1.0
SKU10000,2024-03-11,2024,3,Automotive,637,165,121,681,0,27.0,1,0.7333
SKU10000,2024-03-18,2024,3,Automotive,451,186,186,0,0,17.0,0,1.0
